gender,age,marital_status,highest_qualification,nationality,ethnicity,region,avg_salary,smoke
Male,38,Divorced,No Qualification,British,White,The North,3900.0,No
Female,42,Single,No Qualification,British,White,The North,1300.0,Yes
Male,40,Married,Degree,English,White,The North,32500.0,No
Female,40,Married,Degree,English,White,The North,13000.0,No
Female,39,Married,GCSE/O Level,British,White,The North,3900.0,No
Female,37,Married,GCSE/O Level,British,White,The North,18200.0,No
Male,53,Married,Degree,British,White,The North,18200.0,Yes
Male,44,Single,Degree,English,White,The North,13000.0,No
Male,40,Single,GCSE/CSE,English,White,The North,3900.0,Yes
Female,41,Married,No Qualification,English,White,The North,7800.0,Yes
Male,72,Widowed,No Qualification,English,White,The North,13000.0,No
Male,49,Married,No Qualification,British,White,The North,0.0,No
Male,29,Married,Degree,English,White,The North,18200.0,No
Female,79,Widowed,No Qualification,English,White,The North,13000.0,No
Male,25,Single,Degree,English,White,The North,18200.0,No
Female,27,Single,Degree,English,White,The North,18200.0,No
Female,30,Single,Degree,English,White,The North,24700.0,No
Male,47,Divorced,No Qualification,British,White,The North,13000.0,No
Female,69,Single,Other/Sub Degree,English,White,The North,3900.0,No
Male,55,Married,No Qualification,English,White,The North,24700.0,No
Female,34,Married,GCSE/CSE,British,White,The North,3900.0,Yes
Female,36,Married,GCSE/O Level,English,White,The North,7800.0,Yes
Female,56,Married,No Qualification,English,White,The North,3900.0,Yes
Male,71,Divorced,No Qualification,English,White,The North,0.0,No
Female,38,Married,No Qualification,English,White,The North,7800.0,No
Female,79,Married,No Qualification,English,White,The North,1300.0,No
Female,58,Divorced,No Qualification,English,White,The North,7800.0,Yes
Female,69,Married,No Qualification,British,White,The North,1300.0,No
Male,83,Widowed,No Qualification,English,White,The North,3900.0,No
Female,73,Widowed,No Qualification,English,White,The North,7800.0,No
Female,42,Married,GCSE/O Level,British,White,The North,0.0,Yes
Female,31,Married,GCSE/CSE,English,White,The North,1300.0,Yes
Male,26,Single,GCSE/CSE,English,White,The North,3900.0,No
Female,27,Separated,Degree,English,White,The North,18200.0,No
Female,57,Married,Higher/Sub Degree,English,White,The North,13000.0,No
Female,30,Married,ONC/BTEC,English,White,The North,3900.0,No
Female,22,Single,A Levels,English,White,The North,7800.0,No
Female,78,Widowed,No Qualification,English,White,The North,1300.0,Yes
Female,49,Married,ONC/BTEC,English,Mixed,The North,18200.0,No
Male,74,Married,Other/Sub Degree,English,White,The North,18200.0,No
Male,85,Widowed,Degree,Scottish,White,The North,24700.0,No
Male,75,Married,Other/Sub Degree,English,White,The North,0.0,No
Female,80,Widowed,GCSE/O Level,British,White,The North,3900.0,No
Female,37,Married,Degree,British,White,The North,1300.0,No
Female,33,Single,Degree,British,White,The North,13000.0,No
Male,41,Divorced,A Levels,English,White,The North,18200.0,No
Female,81,Widowed,No Qualification,British,White,The North,3900.0,No
Female,76,Widowed,No Qualification,English,White,The North,3900.0,Yes
Female,58,Married,A Levels,British,White,The North,13000.0,No
Male,59,Married,Other/Sub Degree,English,White,The North,18200.0,Yes
Female,40,Divorced,GCSE/O Level,English,White,The North,7800.0,Yes
Female,54,Divorced,GCSE/O Level,British,White,The North,13000.0,No
Male,49,Married,Degree,Scottish,White,The North,18200.0,No
Female,79,Widowed,No Qualification,English,White,The North,7800.0,No
Male,28,Married,Other/Sub Degree,British,White,The North,24700.0,Yes
Male,44,Married,Other/Sub Degree,English,White,The North,7800.0,No
Female,42,Single,GCSE/CSE,British,White,The North,13000.0,No
Female,36,Single,GCSE/CSE,British,White,The North,7800.0,No
